task_id,wave,phase,department,district,path,depends_on,status,priority,definition_of_done
W2-QA-01_Concepcion-Horqueta,onda2,qa_quantitativo,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,W2-SENS-01_Concepcion-Horqueta,done,P1,Checklist Onda 2 aprovado
W3-MIDIA-01_Concepcion-Horqueta,onda3,midia_especifica,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,W2-QA-01_Concepcion-Horqueta,done,P1,>=3 mídias locais específicas + origem
W3-REDACAO-01_Concepcion-Horqueta,onda3,redacao_final_local,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,W3-MIDIA-01_Concepcion-Horqueta,done,P2,Texto final local coerente e publicável
W3-QA-01_Concepcion-Horqueta,onda3,qa_publicacao_local,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,W3-REDACAO-01_Concepcion-Horqueta,done,P1,Checklist local de publicação aprovado
W1-FATOS-01_Concepcion-Itacua,onda1,base_factual,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,,done,P1,Blocos 1..5 específicos + >=10 afirmações com fonte oficial e data
W1-INDIC-01_Concepcion-Itacua,onda1,indicadores_minimos,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,W1-FATOS-01_Concepcion-Itacua,done,P1,Indicadores mínimos completos com unidade e referência temporal
W1-QA-01_Concepcion-Itacua,onda1,qa_factual,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,W1-INDIC-01_Concepcion-Itacua,done,P1,Checklist Onda 1 aprovado
W2-GSS-01_Concepcion-Itacua,onda2,gss_calibrado,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,W1-QA-01_Concepcion-Itacua,done,P1,Notas A-E justificadas e GSS recalculado
W2-SENS-01_Concepcion-Itacua,onda2,sensibilidade_gss,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,W2-GSS-01_Concepcion-Itacua,done,P2,Análise de sensibilidade registrada
W2-QA-01_Concepcion-Itacua,onda2,qa_quantitativo,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,W2-SENS-01_Concepcion-Itacua,done,P1,Checklist Onda 2 aprovado
W3-MIDIA-01_Concepcion-Itacua,onda3,midia_especifica,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,W2-QA-01_Concepcion-Itacua,done,P1,>=3 mídias locais específicas + origem
W3-REDACAO-01_Concepcion-Itacua,onda3,redacao_final_local,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,W3-MIDIA-01_Concepcion-Itacua,done,P2,Texto final local coerente e publicável
W3-QA-01_Concepcion-Itacua,onda3,qa_publicacao_local,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,W3-REDACAO-01_Concepcion-Itacua,done,P1,Checklist local de publicação aprovado
W1-FATOS-01_Concepcion-Loreto,onda1,base_factual,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,,done,P1,Blocos 1..5 específicos + >=10 afirmações com fonte oficial e data
W1-INDIC-01_Concepcion-Loreto,onda1,indicadores_minimos,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,W1-FATOS-01_Concepcion-Loreto,done,P1,Indicadores mínimos completos com unidade e referência temporal
W1-QA-01_Concepcion-Loreto,onda1,qa_factual,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,W1-INDIC-01_Concepcion-Loreto,done,P1,Checklist Onda 1 aprovado
W2-GSS-01_Concepcion-Loreto,onda2,gss_calibrado,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,W1-QA-01_Concepcion-Loreto,done,P1,Notas A-E justificadas e GSS recalculado
W2-SENS-01_Concepcion-Loreto,onda2,sensibilidade_gss,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,W2-GSS-01_Concepcion-Loreto,done,P2,Análise de sensibilidade registrada
W2-QA-01_Concepcion-Loreto,onda2,qa_quantitativo,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,W2-SENS-01_Concepcion-Loreto,done,P1,Checklist Onda 2 aprovado
W3-MIDIA-01_Concepcion-Loreto,onda3,midia_especifica,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,W2-QA-01_Concepcion-Loreto,done,P1,>=3 mídias locais específicas + origem
W3-REDACAO-01_Concepcion-Loreto,onda3,redacao_final_local,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,W3-MIDIA-01_Concepcion-Loreto,done,P2,Texto final local coerente e publicável
W3-QA-01_Concepcion-Loreto,onda3,qa_publicacao_local,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,W3-REDACAO-01_Concepcion-Loreto,done,P1,Checklist local de publicação aprovado
W1-FATOS-01_Concepcion-Paso_Barreto,onda1,base_factual,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,,done,P1,Blocos 1..5 específicos + >=10 afirmações com fonte oficial e data
W1-INDIC-01_Concepcion-Paso_Barreto,onda1,indicadores_minimos,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,W1-FATOS-01_Concepcion-Paso_Barreto,done,P1,Indicadores mínimos completos com unidade e referência temporal
W1-QA-01_Concepcion-Paso_Barreto,onda1,qa_factual,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,W1-INDIC-01_Concepcion-Paso_Barreto,done,P1,Checklist Onda 1 aprovado
W2-GSS-01_Concepcion-Paso_Barreto,onda2,gss_calibrado,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,W1-QA-01_Concepcion-Paso_Barreto,done,P1,Notas A-E justificadas e GSS recalculado
W2-SENS-01_Concepcion-Paso_Barreto,onda2,sensibilidade_gss,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,W2-GSS-01_Concepcion-Paso_Barreto,done,P2,Análise de sensibilidade registrada
W2-QA-01_Concepcion-Paso_Barreto,onda2,qa_quantitativo,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,W2-SENS-01_Concepcion-Paso_Barreto,done,P1,Checklist Onda 2 aprovado
W3-MIDIA-01_Concepcion-Paso_Barreto,onda3,midia_especifica,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,W2-QA-01_Concepcion-Paso_Barreto,done,P1,>=3 mídias locais específicas + origem
W3-REDACAO-01_Concepcion-Paso_Barreto,onda3,redacao_final_local,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,W3-MIDIA-01_Concepcion-Paso_Barreto,done,P2,Texto final local coerente e publicável
W3-QA-01_Concepcion-Paso_Barreto,onda3,qa_publicacao_local,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,W3-REDACAO-01_Concepcion-Paso_Barreto,done,P1,Checklist local de publicação aprovado
W1-FATOS-01_Concepcion-Paso_Horqueta,onda1,base_factual,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,,done,P1,Blocos 1..5 específicos + >=10 afirmações com fonte oficial e data
W1-INDIC-01_Concepcion-Paso_Horqueta,onda1,indicadores_minimos,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,W1-FATOS-01_Concepcion-Paso_Horqueta,done,P1,Indicadores mínimos completos com unidade e referência temporal
W1-QA-01_Concepcion-Paso_Horqueta,onda1,qa_factual,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,W1-INDIC-01_Concepcion-Paso_Horqueta,done,P1,Checklist Onda 1 aprovado
W2-GSS-01_Concepcion-Paso_Horqueta,onda2,gss_calibrado,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,W1-QA-01_Concepcion-Paso_Horqueta,done,P1,Notas A-E justificadas e GSS recalculado
W2-SENS-01_Concepcion-Paso_Horqueta,onda2,sensibilidade_gss,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,W2-GSS-01_Concepcion-Paso_Horqueta,done,P2,Análise de sensibilidade registrada
W2-QA-01_Concepcion-Paso_Horqueta,onda2,qa_quantitativo,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,W2-SENS-01_Concepcion-Paso_Horqueta,done,P1,Checklist Onda 2 aprovado
W3-MIDIA-01_Concepcion-Paso_Horqueta,onda3,midia_especifica,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,W2-QA-01_Concepcion-Paso_Horqueta,done,P1,>=3 mídias locais específicas + origem
W3-REDACAO-01_Concepcion-Paso_Horqueta,onda3,redacao_final_local,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,W3-MIDIA-01_Concepcion-Paso_Horqueta,done,P2,Texto final local coerente e publicável
W3-QA-01_Concepcion-Paso_Horqueta,onda3,qa_publicacao_local,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,W3-REDACAO-01_Concepcion-Paso_Horqueta,done,P1,Checklist local de publicação aprovado
W1-FATOS-01_Concepcion-San_Alfredo,onda1,base_factual,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,,done,P1,Blocos 1..5 específicos + >=10 afirmações com fonte oficial e data
W1-INDIC-01_Concepcion-San_Alfredo,onda1,indicadores_minimos,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,W1-FATOS-01_Concepcion-San_Alfredo,done,P1,Indicadores mínimos completos com unidade e referência temporal
W1-QA-01_Concepcion-San_Alfredo,onda1,qa_factual,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,W1-INDIC-01_Concepcion-San_Alfredo,done,P1,Checklist Onda 1 aprovado
W2-GSS-01_Concepcion-San_Alfredo,onda2,gss_calibrado,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,W1-QA-01_Concepcion-San_Alfredo,done,P1,Notas A-E justificadas e GSS recalculado
W2-SENS-01_Concepcion-San_Alfredo,onda2,sensibilidade_gss,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,W2-GSS-01_Concepcion-San_Alfredo,done,P2,Análise de sensibilidade registrada
W2-QA-01_Concepcion-San_Alfredo,onda2,qa_quantitativo,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,W2-SENS-01_Concepcion-San_Alfredo,done,P1,Checklist Onda 2 aprovado
W3-MIDIA-01_Concepcion-San_Alfredo,onda3,midia_especifica,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,W2-QA-01_Concepcion-San_Alfredo,done,P1,>=3 mídias locais específicas + origem
W3-REDACAO-01_Concepcion-San_Alfredo,onda3,redacao_final_local,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,W3-MIDIA-01_Concepcion-San_Alfredo,done,P2,Texto final local coerente e publicável
W3-QA-01_Concepcion-San_Alfredo,onda3,qa_publicacao_local,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,W3-REDACAO-01_Concepcion-San_Alfredo,done,P1,Checklist local de publicação aprovado
W1-FATOS-01_Concepcion-San_Carlos_del_Apa,onda1,base_factual,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,,done,P1,Blocos 1..5 específicos + >=10 afirmações com fonte oficial e data
W1-INDIC-01_Concepcion-San_Carlos_del_Apa,onda1,indicadores_minimos,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,W1-FATOS-01_Concepcion-San_Carlos_del_Apa,done,P1,Indicadores mínimos completos com unidade e referência temporal
W1-QA-01_Concepcion-San_Carlos_del_Apa,onda1,qa_factual,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,W1-INDIC-01_Concepcion-San_Carlos_del_Apa,done,P1,Checklist Onda 1 aprovado
W2-GSS-01_Concepcion-San_Carlos_del_Apa,onda2,gss_calibrado,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,W1-QA-01_Concepcion-San_Carlos_del_Apa,done,P1,Notas A-E justificadas e GSS recalculado
W2-SENS-01_Concepcion-San_Carlos_del_Apa,onda2,sensibilidade_gss,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,W2-GSS-01_Concepcion-San_Carlos_del_Apa,done,P2,Análise de sensibilidade registrada
W2-QA-01_Concepcion-San_Carlos_del_Apa,onda2,qa_quantitativo,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,W2-SENS-01_Concepcion-San_Carlos_del_Apa,done,P1,Checklist Onda 2 aprovado
W3-MIDIA-01_Concepcion-San_Carlos_del_Apa,onda3,midia_especifica,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,W2-QA-01_Concepcion-San_Carlos_del_Apa,done,P1,>=3 mídias locais específicas + origem
W3-REDACAO-01_Concepcion-San_Carlos_del_Apa,onda3,redacao_final_local,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,W3-MIDIA-01_Concepcion-San_Carlos_del_Apa,done,P2,Texto final local coerente e publicável
W3-QA-01_Concepcion-San_Carlos_del_Apa,onda3,qa_publicacao_local,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,W3-REDACAO-01_Concepcion-San_Carlos_del_Apa,done,P1,Checklist local de publicação aprovado
W1-FATOS-01_Concepcion-San_Lazaro,onda1,base_factual,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,,done,P1,Blocos 1..5 específicos + >=10 afirmações com fonte oficial e data
W1-INDIC-01_Concepcion-San_Lazaro,onda1,indicadores_minimos,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,W1-FATOS-01_Concepcion-San_Lazaro,done,P1,Indicadores mínimos completos com unidade e referência temporal
W1-QA-01_Concepcion-San_Lazaro,onda1,qa_factual,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,W1-INDIC-01_Concepcion-San_Lazaro,done,P1,Checklist Onda 1 aprovado
W2-GSS-01_Concepcion-San_Lazaro,onda2,gss_calibrado,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,W1-QA-01_Concepcion-San_Lazaro,done,P1,Notas A-E justificadas e GSS recalculado
W2-SENS-01_Concepcion-San_Lazaro,onda2,sensibilidade_gss,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,W2-GSS-01_Concepcion-San_Lazaro,done,P2,Análise de sensibilidade registrada
W2-QA-01_Concepcion-San_Lazaro,onda2,qa_quantitativo,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,W2-SENS-01_Concepcion-San_Lazaro,done,P1,Checklist Onda 2 aprovado
W3-MIDIA-01_Concepcion-San_Lazaro,onda3,midia_especifica,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,W2-QA-01_Concepcion-San_Lazaro,done,P1,>=3 mídias locais específicas + origem
W3-REDACAO-01_Concepcion-San_Lazaro,onda3,redacao_final_local,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,W3-MIDIA-01_Concepcion-San_Lazaro,done,P2,Texto final local coerente e publicável
W3-QA-01_Concepcion-San_Lazaro,onda3,qa_publicacao_local,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,W3-REDACAO-01_Concepcion-San_Lazaro,done,P1,Checklist local de publicação aprovado
W1-FATOS-01_Concepcion-Sargento_Jose_Felix_Lopez,onda1,base_factual,01_Concepcion,Sargento_Jose_Felix_Lopez,Departamentos/01_Concepcion/Sargento_Jose_Felix_Lopez,,done,P1,Blocos 1..5 específicos + >=10 afirmações com fonte oficial e data
W1-INDIC-01_Concepcion-Sargento_Jose_Felix_Lopez,onda1,indicadores_minimos,01_Concepcion,Sargento_Jose_Felix_Lopez,Departamentos/01_Concepcion/Sargento_Jose_Felix_Lopez,W1-FATOS-01_Concepcion-Sargento_Jose_Felix_Lopez,done,P1,Indicadores mínimos completos com unidade e referência temporal
W1-QA-01_Concepcion-Sargento_Jose_Felix_Lopez,onda1,qa_factual,01_Concepcion,Sargento_Jose_Felix_Lopez,Departamentos/01_Concepcion/Sargento_Jose_Felix_Lopez,W1-INDIC-01_Concepcion-Sargento_Jose_Felix_Lopez,done,P1,Checklist Onda 1 aprovado
