task_id,phase,department,district,path,depends_on,status,priority,definition_of_done
ENR-MIDIA-DOWN-01_Concepcion-Azotey,baixar_midia,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,ENR-DADOS-01_Concepcion-Azotey,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/01_Concepcion/Azotey/media/
ENR-MIDIA-MD-01_Concepcion-Azotey,atualizar_media_md,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,ENR-MIDIA-DOWN-01_Concepcion-Azotey,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-01_Concepcion-Azotey,validar_enriquecimento,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,ENR-MIDIA-MD-01_Concepcion-Azotey,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-01_Concepcion-Belen,enriquecer_dados,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-01_Concepcion-Belen,recalcular_gss,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,ENR-DADOS-01_Concepcion-Belen,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-01_Concepcion-Belen,baixar_midia,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,ENR-DADOS-01_Concepcion-Belen,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/01_Concepcion/Belen/media/
ENR-MIDIA-MD-01_Concepcion-Belen,atualizar_media_md,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,ENR-MIDIA-DOWN-01_Concepcion-Belen,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-01_Concepcion-Belen,validar_enriquecimento,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,ENR-MIDIA-MD-01_Concepcion-Belen,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-01_Concepcion-Concepcion,enriquecer_dados,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-01_Concepcion-Concepcion,recalcular_gss,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,ENR-DADOS-01_Concepcion-Concepcion,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-01_Concepcion-Concepcion,baixar_midia,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,ENR-DADOS-01_Concepcion-Concepcion,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/01_Concepcion/Concepcion/media/
ENR-MIDIA-MD-01_Concepcion-Concepcion,atualizar_media_md,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,ENR-MIDIA-DOWN-01_Concepcion-Concepcion,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-01_Concepcion-Concepcion,validar_enriquecimento,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,ENR-MIDIA-MD-01_Concepcion-Concepcion,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-01_Concepcion-Horqueta,enriquecer_dados,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-01_Concepcion-Horqueta,recalcular_gss,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,ENR-DADOS-01_Concepcion-Horqueta,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-01_Concepcion-Horqueta,baixar_midia,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,ENR-DADOS-01_Concepcion-Horqueta,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/01_Concepcion/Horqueta/media/
ENR-MIDIA-MD-01_Concepcion-Horqueta,atualizar_media_md,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,ENR-MIDIA-DOWN-01_Concepcion-Horqueta,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-01_Concepcion-Horqueta,validar_enriquecimento,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,ENR-MIDIA-MD-01_Concepcion-Horqueta,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-01_Concepcion-Itacua,enriquecer_dados,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-01_Concepcion-Itacua,recalcular_gss,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,ENR-DADOS-01_Concepcion-Itacua,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-01_Concepcion-Itacua,baixar_midia,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,ENR-DADOS-01_Concepcion-Itacua,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/01_Concepcion/Itacua/media/
ENR-MIDIA-MD-01_Concepcion-Itacua,atualizar_media_md,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,ENR-MIDIA-DOWN-01_Concepcion-Itacua,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-01_Concepcion-Itacua,validar_enriquecimento,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,ENR-MIDIA-MD-01_Concepcion-Itacua,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-01_Concepcion-Loreto,enriquecer_dados,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-01_Concepcion-Loreto,recalcular_gss,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,ENR-DADOS-01_Concepcion-Loreto,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-01_Concepcion-Loreto,baixar_midia,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,ENR-DADOS-01_Concepcion-Loreto,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/01_Concepcion/Loreto/media/
ENR-MIDIA-MD-01_Concepcion-Loreto,atualizar_media_md,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,ENR-MIDIA-DOWN-01_Concepcion-Loreto,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-01_Concepcion-Loreto,validar_enriquecimento,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,ENR-MIDIA-MD-01_Concepcion-Loreto,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-01_Concepcion-Paso_Barreto,enriquecer_dados,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-01_Concepcion-Paso_Barreto,recalcular_gss,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,ENR-DADOS-01_Concepcion-Paso_Barreto,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-01_Concepcion-Paso_Barreto,baixar_midia,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,ENR-DADOS-01_Concepcion-Paso_Barreto,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/01_Concepcion/Paso_Barreto/media/
ENR-MIDIA-MD-01_Concepcion-Paso_Barreto,atualizar_media_md,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,ENR-MIDIA-DOWN-01_Concepcion-Paso_Barreto,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-01_Concepcion-Paso_Barreto,validar_enriquecimento,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,ENR-MIDIA-MD-01_Concepcion-Paso_Barreto,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-01_Concepcion-Paso_Horqueta,enriquecer_dados,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-01_Concepcion-Paso_Horqueta,recalcular_gss,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,ENR-DADOS-01_Concepcion-Paso_Horqueta,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-01_Concepcion-Paso_Horqueta,baixar_midia,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,ENR-DADOS-01_Concepcion-Paso_Horqueta,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/01_Concepcion/Paso_Horqueta/media/
ENR-MIDIA-MD-01_Concepcion-Paso_Horqueta,atualizar_media_md,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,ENR-MIDIA-DOWN-01_Concepcion-Paso_Horqueta,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-01_Concepcion-Paso_Horqueta,validar_enriquecimento,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,ENR-MIDIA-MD-01_Concepcion-Paso_Horqueta,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-01_Concepcion-San_Alfredo,enriquecer_dados,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-01_Concepcion-San_Alfredo,recalcular_gss,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,ENR-DADOS-01_Concepcion-San_Alfredo,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-01_Concepcion-San_Alfredo,baixar_midia,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,ENR-DADOS-01_Concepcion-San_Alfredo,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/01_Concepcion/San_Alfredo/media/
ENR-MIDIA-MD-01_Concepcion-San_Alfredo,atualizar_media_md,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,ENR-MIDIA-DOWN-01_Concepcion-San_Alfredo,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-01_Concepcion-San_Alfredo,validar_enriquecimento,01_Concepcion,San_Alfredo,Departamentos/01_Concepcion/San_Alfredo,ENR-MIDIA-MD-01_Concepcion-San_Alfredo,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-01_Concepcion-San_Carlos_del_Apa,enriquecer_dados,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-01_Concepcion-San_Carlos_del_Apa,recalcular_gss,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,ENR-DADOS-01_Concepcion-San_Carlos_del_Apa,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-01_Concepcion-San_Carlos_del_Apa,baixar_midia,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,ENR-DADOS-01_Concepcion-San_Carlos_del_Apa,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/01_Concepcion/San_Carlos_del_Apa/media/
ENR-MIDIA-MD-01_Concepcion-San_Carlos_del_Apa,atualizar_media_md,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,ENR-MIDIA-DOWN-01_Concepcion-San_Carlos_del_Apa,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-01_Concepcion-San_Carlos_del_Apa,validar_enriquecimento,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,ENR-MIDIA-MD-01_Concepcion-San_Carlos_del_Apa,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-01_Concepcion-San_Lazaro,enriquecer_dados,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-01_Concepcion-San_Lazaro,recalcular_gss,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,ENR-DADOS-01_Concepcion-San_Lazaro,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-01_Concepcion-San_Lazaro,baixar_midia,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,ENR-DADOS-01_Concepcion-San_Lazaro,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/01_Concepcion/San_Lazaro/media/
ENR-MIDIA-MD-01_Concepcion-San_Lazaro,atualizar_media_md,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,ENR-MIDIA-DOWN-01_Concepcion-San_Lazaro,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-01_Concepcion-San_Lazaro,validar_enriquecimento,01_Concepcion,San_Lazaro,Departamentos/01_Concepcion/San_Lazaro,ENR-MIDIA-MD-01_Concepcion-San_Lazaro,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-01_Concepcion-Sargento_Jose_Felix_Lopez,enriquecer_dados,01_Concepcion,Sargento_Jose_Felix_Lopez,Departamentos/01_Concepcion/Sargento_Jose_Felix_Lopez,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-01_Concepcion-Sargento_Jose_Felix_Lopez,recalcular_gss,01_Concepcion,Sargento_Jose_Felix_Lopez,Departamentos/01_Concepcion/Sargento_Jose_Felix_Lopez,ENR-DADOS-01_Concepcion-Sargento_Jose_Felix_Lopez,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-01_Concepcion-Sargento_Jose_Felix_Lopez,baixar_midia,01_Concepcion,Sargento_Jose_Felix_Lopez,Departamentos/01_Concepcion/Sargento_Jose_Felix_Lopez,ENR-DADOS-01_Concepcion-Sargento_Jose_Felix_Lopez,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/01_Concepcion/Sargento_Jose_Felix_Lopez/media/
ENR-MIDIA-MD-01_Concepcion-Sargento_Jose_Felix_Lopez,atualizar_media_md,01_Concepcion,Sargento_Jose_Felix_Lopez,Departamentos/01_Concepcion/Sargento_Jose_Felix_Lopez,ENR-MIDIA-DOWN-01_Concepcion-Sargento_Jose_Felix_Lopez,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-01_Concepcion-Sargento_Jose_Felix_Lopez,validar_enriquecimento,01_Concepcion,Sargento_Jose_Felix_Lopez,Departamentos/01_Concepcion/Sargento_Jose_Felix_Lopez,ENR-MIDIA-MD-01_Concepcion-Sargento_Jose_Felix_Lopez,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-01_Concepcion-Yby_Yau,enriquecer_dados,01_Concepcion,Yby_Yau,Departamentos/01_Concepcion/Yby_Yau,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-01_Concepcion-Yby_Yau,recalcular_gss,01_Concepcion,Yby_Yau,Departamentos/01_Concepcion/Yby_Yau,ENR-DADOS-01_Concepcion-Yby_Yau,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-01_Concepcion-Yby_Yau,baixar_midia,01_Concepcion,Yby_Yau,Departamentos/01_Concepcion/Yby_Yau,ENR-DADOS-01_Concepcion-Yby_Yau,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/01_Concepcion/Yby_Yau/media/
ENR-MIDIA-MD-01_Concepcion-Yby_Yau,atualizar_media_md,01_Concepcion,Yby_Yau,Departamentos/01_Concepcion/Yby_Yau,ENR-MIDIA-DOWN-01_Concepcion-Yby_Yau,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-01_Concepcion-Yby_Yau,validar_enriquecimento,01_Concepcion,Yby_Yau,Departamentos/01_Concepcion/Yby_Yau,ENR-MIDIA-MD-01_Concepcion-Yby_Yau,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-02_San_Pedro-25_de_Diciembre,enriquecer_dados,02_San_Pedro,25_de_Diciembre,Departamentos/02_San_Pedro/25_de_Diciembre,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-02_San_Pedro-25_de_Diciembre,recalcular_gss,02_San_Pedro,25_de_Diciembre,Departamentos/02_San_Pedro/25_de_Diciembre,ENR-DADOS-02_San_Pedro-25_de_Diciembre,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-02_San_Pedro-25_de_Diciembre,baixar_midia,02_San_Pedro,25_de_Diciembre,Departamentos/02_San_Pedro/25_de_Diciembre,ENR-DADOS-02_San_Pedro-25_de_Diciembre,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/02_San_Pedro/25_de_Diciembre/media/
ENR-MIDIA-MD-02_San_Pedro-25_de_Diciembre,atualizar_media_md,02_San_Pedro,25_de_Diciembre,Departamentos/02_San_Pedro/25_de_Diciembre,ENR-MIDIA-DOWN-02_San_Pedro-25_de_Diciembre,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-02_San_Pedro-25_de_Diciembre,validar_enriquecimento,02_San_Pedro,25_de_Diciembre,Departamentos/02_San_Pedro/25_de_Diciembre,ENR-MIDIA-MD-02_San_Pedro-25_de_Diciembre,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-02_San_Pedro-Antequera,enriquecer_dados,02_San_Pedro,Antequera,Departamentos/02_San_Pedro/Antequera,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-02_San_Pedro-Antequera,recalcular_gss,02_San_Pedro,Antequera,Departamentos/02_San_Pedro/Antequera,ENR-DADOS-02_San_Pedro-Antequera,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-02_San_Pedro-Antequera,baixar_midia,02_San_Pedro,Antequera,Departamentos/02_San_Pedro/Antequera,ENR-DADOS-02_San_Pedro-Antequera,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/02_San_Pedro/Antequera/media/
ENR-MIDIA-MD-02_San_Pedro-Antequera,atualizar_media_md,02_San_Pedro,Antequera,Departamentos/02_San_Pedro/Antequera,ENR-MIDIA-DOWN-02_San_Pedro-Antequera,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-02_San_Pedro-Antequera,validar_enriquecimento,02_San_Pedro,Antequera,Departamentos/02_San_Pedro/Antequera,ENR-MIDIA-MD-02_San_Pedro-Antequera,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-02_San_Pedro-Capiibary,enriquecer_dados,02_San_Pedro,Capiibary,Departamentos/02_San_Pedro/Capiibary,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-02_San_Pedro-Capiibary,recalcular_gss,02_San_Pedro,Capiibary,Departamentos/02_San_Pedro/Capiibary,ENR-DADOS-02_San_Pedro-Capiibary,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-02_San_Pedro-Capiibary,baixar_midia,02_San_Pedro,Capiibary,Departamentos/02_San_Pedro/Capiibary,ENR-DADOS-02_San_Pedro-Capiibary,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/02_San_Pedro/Capiibary/media/
ENR-MIDIA-MD-02_San_Pedro-Capiibary,atualizar_media_md,02_San_Pedro,Capiibary,Departamentos/02_San_Pedro/Capiibary,ENR-MIDIA-DOWN-02_San_Pedro-Capiibary,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-02_San_Pedro-Capiibary,validar_enriquecimento,02_San_Pedro,Capiibary,Departamentos/02_San_Pedro/Capiibary,ENR-MIDIA-MD-02_San_Pedro-Capiibary,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-02_San_Pedro-Chore,enriquecer_dados,02_San_Pedro,Chore,Departamentos/02_San_Pedro/Chore,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-02_San_Pedro-Chore,recalcular_gss,02_San_Pedro,Chore,Departamentos/02_San_Pedro/Chore,ENR-DADOS-02_San_Pedro-Chore,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-02_San_Pedro-Chore,baixar_midia,02_San_Pedro,Chore,Departamentos/02_San_Pedro/Chore,ENR-DADOS-02_San_Pedro-Chore,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/02_San_Pedro/Chore/media/
ENR-MIDIA-MD-02_San_Pedro-Chore,atualizar_media_md,02_San_Pedro,Chore,Departamentos/02_San_Pedro/Chore,ENR-MIDIA-DOWN-02_San_Pedro-Chore,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-02_San_Pedro-Chore,validar_enriquecimento,02_San_Pedro,Chore,Departamentos/02_San_Pedro/Chore,ENR-MIDIA-MD-02_San_Pedro-Chore,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-02_San_Pedro-General_Elizardo_Aquino,enriquecer_dados,02_San_Pedro,General_Elizardo_Aquino,Departamentos/02_San_Pedro/General_Elizardo_Aquino,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-02_San_Pedro-General_Elizardo_Aquino,recalcular_gss,02_San_Pedro,General_Elizardo_Aquino,Departamentos/02_San_Pedro/General_Elizardo_Aquino,ENR-DADOS-02_San_Pedro-General_Elizardo_Aquino,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
ENR-MIDIA-DOWN-02_San_Pedro-General_Elizardo_Aquino,baixar_midia,02_San_Pedro,General_Elizardo_Aquino,Departamentos/02_San_Pedro/General_Elizardo_Aquino,ENR-DADOS-02_San_Pedro-General_Elizardo_Aquino,done,P1,Baixar ao menos 3 imagens relevantes e salvar em Departamentos/02_San_Pedro/General_Elizardo_Aquino/media/
ENR-MIDIA-MD-02_San_Pedro-General_Elizardo_Aquino,atualizar_media_md,02_San_Pedro,General_Elizardo_Aquino,Departamentos/02_San_Pedro/General_Elizardo_Aquino,ENR-MIDIA-DOWN-02_San_Pedro-General_Elizardo_Aquino,done,P1,Atualizar MEDIA.md com caminhos locais e link de origem para visualizacao
ENR-VALIDA-02_San_Pedro-General_Elizardo_Aquino,validar_enriquecimento,02_San_Pedro,General_Elizardo_Aquino,Departamentos/02_San_Pedro/General_Elizardo_Aquino,ENR-MIDIA-MD-02_San_Pedro-General_Elizardo_Aquino,done,P2,Validar DADOS.md + MEDIA.md + arquivos locais de media
ENR-DADOS-02_San_Pedro-General_Resquin,enriquecer_dados,02_San_Pedro,General_Resquin,Departamentos/02_San_Pedro/General_Resquin,,done,P1,Consultar links e consolidar dados textuais com fonte e data nos blocos 1..5 do DADOS.md
ENR-GSS-02_San_Pedro-General_Resquin,recalcular_gss,02_San_Pedro,General_Resquin,Departamentos/02_San_Pedro/General_Resquin,ENR-DADOS-02_San_Pedro-General_Resquin,done,P1,Revisar notas A-E e recalcular GSS coerente com dados consolidados
