task_id,wave,phase,scope_level,department,district,path,depends_on,status,priority,agent_role,definition_of_done
E1-QA-01_Concepcion-Azotey,E1,qa_evidencia,distrito,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,E1-INDIC-01_Concepcion-Azotey,done,P1,agente_qa,"Sem placeholders, sem proxy nao justificado, citacao validada."
E2-MODEL-01_Concepcion-Azotey,E2,calibracao_notas_AE,distrito,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,E1-QA-01_Concepcion-Azotey,done,P1,agente_metodo,Notas A-E justificadas por regras quantitativas publicadas no dossie.
E2-GSS-01_Concepcion-Azotey,E2,gss_reproduzivel,distrito,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,E2-MODEL-01_Concepcion-Azotey,done,P1,agente_metodo,GSS recalculado e reproduzivel (mesma entrada -> mesmo resultado).
E2-SENS-01_Concepcion-Azotey,E2,sensibilidade_3_cenarios,distrito,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,E2-GSS-01_Concepcion-Azotey,done,P2,agente_risco,Cenarios otimista/base/conservador com impacto no ranking local.
E2-QA-01_Concepcion-Azotey,E2,qa_modelo,distrito,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,E2-SENS-01_Concepcion-Azotey,done,P1,agente_qa,Modelo auditavel e consistente com evidencias oficiais.
E3-MIDIA-01_Concepcion-Azotey,E3,midia_tecnica_local,distrito,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,E2-QA-01_Concepcion-Azotey,done,P2,agente_midia,"3 ativos tecnicos locais (mapa/risco/infra) com origem, data e licenca."
E3-QA-01_Concepcion-Azotey,E3,qa_midia,distrito,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,E3-MIDIA-01_Concepcion-Azotey,done,P2,agente_qa,Mídia coerente com texto e em qualidade suficiente para publicacao.
E4-TEXTO-01_Concepcion-Azotey,E4,redacao_profunda_distrital,distrito,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,E3-QA-01_Concepcion-Azotey,done,P1,agente_editorial,"Narrativa robusta com trade-offs, recomendacao e pre-condicoes de decisao."
E4-QA-01_Concepcion-Azotey,E4,qa_editorial_distrital,distrito,01_Concepcion,Azotey,Departamentos/01_Concepcion/Azotey,E4-TEXTO-01_Concepcion-Azotey,done,P1,agente_qa,"Texto coerente com dados, sem contradicoes, pronto para compilacao."
E1-CIT-01_Concepcion-Belen,E1,citacao_linha_a_linha,distrito,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,,done,P1,agente_pesquisa,">=12 afirmacoes criticas com fonte oficial, data da fonte e data de acesso."
E1-INDIC-01_Concepcion-Belen,E1,indicadores_oficiais_granulares,distrito,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,E1-CIT-01_Concepcion-Belen,done,P1,agente_dados,"Indicadores distritais oficiais preenchidos com unidade, periodo e link da serie."
E1-QA-01_Concepcion-Belen,E1,qa_evidencia,distrito,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,E1-INDIC-01_Concepcion-Belen,done,P1,agente_qa,"Sem placeholders, sem proxy nao justificado, citacao validada."
E2-MODEL-01_Concepcion-Belen,E2,calibracao_notas_AE,distrito,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,E1-QA-01_Concepcion-Belen,done,P1,agente_metodo,Notas A-E justificadas por regras quantitativas publicadas no dossie.
E2-GSS-01_Concepcion-Belen,E2,gss_reproduzivel,distrito,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,E2-MODEL-01_Concepcion-Belen,done,P1,agente_metodo,GSS recalculado e reproduzivel (mesma entrada -> mesmo resultado).
E2-SENS-01_Concepcion-Belen,E2,sensibilidade_3_cenarios,distrito,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,E2-GSS-01_Concepcion-Belen,done,P2,agente_risco,Cenarios otimista/base/conservador com impacto no ranking local.
E2-QA-01_Concepcion-Belen,E2,qa_modelo,distrito,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,E2-SENS-01_Concepcion-Belen,done,P1,agente_qa,Modelo auditavel e consistente com evidencias oficiais.
E3-MIDIA-01_Concepcion-Belen,E3,midia_tecnica_local,distrito,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,E2-QA-01_Concepcion-Belen,done,P2,agente_midia,"3 ativos tecnicos locais (mapa/risco/infra) com origem, data e licenca."
E3-QA-01_Concepcion-Belen,E3,qa_midia,distrito,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,E3-MIDIA-01_Concepcion-Belen,done,P2,agente_qa,Mídia coerente com texto e em qualidade suficiente para publicacao.
E4-TEXTO-01_Concepcion-Belen,E4,redacao_profunda_distrital,distrito,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,E3-QA-01_Concepcion-Belen,done,P1,agente_editorial,"Narrativa robusta com trade-offs, recomendacao e pre-condicoes de decisao."
E4-QA-01_Concepcion-Belen,E4,qa_editorial_distrital,distrito,01_Concepcion,Belen,Departamentos/01_Concepcion/Belen,E4-TEXTO-01_Concepcion-Belen,done,P1,agente_qa,"Texto coerente com dados, sem contradicoes, pronto para compilacao."
E1-CIT-01_Concepcion-Concepcion,E1,citacao_linha_a_linha,distrito,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,,done,P1,agente_pesquisa,">=12 afirmacoes criticas com fonte oficial, data da fonte e data de acesso."
E1-INDIC-01_Concepcion-Concepcion,E1,indicadores_oficiais_granulares,distrito,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,E1-CIT-01_Concepcion-Concepcion,done,P1,agente_dados,"Indicadores distritais oficiais preenchidos com unidade, periodo e link da serie."
E1-QA-01_Concepcion-Concepcion,E1,qa_evidencia,distrito,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,E1-INDIC-01_Concepcion-Concepcion,done,P1,agente_qa,"Sem placeholders, sem proxy nao justificado, citacao validada."
E2-MODEL-01_Concepcion-Concepcion,E2,calibracao_notas_AE,distrito,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,E1-QA-01_Concepcion-Concepcion,done,P1,agente_metodo,Notas A-E justificadas por regras quantitativas publicadas no dossie.
E2-GSS-01_Concepcion-Concepcion,E2,gss_reproduzivel,distrito,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,E2-MODEL-01_Concepcion-Concepcion,done,P1,agente_metodo,GSS recalculado e reproduzivel (mesma entrada -> mesmo resultado).
E2-SENS-01_Concepcion-Concepcion,E2,sensibilidade_3_cenarios,distrito,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,E2-GSS-01_Concepcion-Concepcion,done,P2,agente_risco,Cenarios otimista/base/conservador com impacto no ranking local.
E2-QA-01_Concepcion-Concepcion,E2,qa_modelo,distrito,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,E2-SENS-01_Concepcion-Concepcion,done,P1,agente_qa,Modelo auditavel e consistente com evidencias oficiais.
E3-MIDIA-01_Concepcion-Concepcion,E3,midia_tecnica_local,distrito,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,E2-QA-01_Concepcion-Concepcion,done,P2,agente_midia,"3 ativos tecnicos locais (mapa/risco/infra) com origem, data e licenca."
E3-QA-01_Concepcion-Concepcion,E3,qa_midia,distrito,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,E3-MIDIA-01_Concepcion-Concepcion,done,P2,agente_qa,Mídia coerente com texto e em qualidade suficiente para publicacao.
E4-TEXTO-01_Concepcion-Concepcion,E4,redacao_profunda_distrital,distrito,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,E3-QA-01_Concepcion-Concepcion,done,P1,agente_editorial,"Narrativa robusta com trade-offs, recomendacao e pre-condicoes de decisao."
E4-QA-01_Concepcion-Concepcion,E4,qa_editorial_distrital,distrito,01_Concepcion,Concepcion,Departamentos/01_Concepcion/Concepcion,E4-TEXTO-01_Concepcion-Concepcion,done,P1,agente_qa,"Texto coerente com dados, sem contradicoes, pronto para compilacao."
E1-CIT-01_Concepcion-Horqueta,E1,citacao_linha_a_linha,distrito,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,,done,P1,agente_pesquisa,">=12 afirmacoes criticas com fonte oficial, data da fonte e data de acesso."
E1-INDIC-01_Concepcion-Horqueta,E1,indicadores_oficiais_granulares,distrito,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,E1-CIT-01_Concepcion-Horqueta,done,P1,agente_dados,"Indicadores distritais oficiais preenchidos com unidade, periodo e link da serie."
E1-QA-01_Concepcion-Horqueta,E1,qa_evidencia,distrito,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,E1-INDIC-01_Concepcion-Horqueta,done,P1,agente_qa,"Sem placeholders, sem proxy nao justificado, citacao validada."
E2-MODEL-01_Concepcion-Horqueta,E2,calibracao_notas_AE,distrito,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,E1-QA-01_Concepcion-Horqueta,done,P1,agente_metodo,Notas A-E justificadas por regras quantitativas publicadas no dossie.
E2-GSS-01_Concepcion-Horqueta,E2,gss_reproduzivel,distrito,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,E2-MODEL-01_Concepcion-Horqueta,done,P1,agente_metodo,GSS recalculado e reproduzivel (mesma entrada -> mesmo resultado).
E2-SENS-01_Concepcion-Horqueta,E2,sensibilidade_3_cenarios,distrito,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,E2-GSS-01_Concepcion-Horqueta,done,P2,agente_risco,Cenarios otimista/base/conservador com impacto no ranking local.
E2-QA-01_Concepcion-Horqueta,E2,qa_modelo,distrito,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,E2-SENS-01_Concepcion-Horqueta,done,P1,agente_qa,Modelo auditavel e consistente com evidencias oficiais.
E3-MIDIA-01_Concepcion-Horqueta,E3,midia_tecnica_local,distrito,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,E2-QA-01_Concepcion-Horqueta,done,P2,agente_midia,"3 ativos tecnicos locais (mapa/risco/infra) com origem, data e licenca."
E3-QA-01_Concepcion-Horqueta,E3,qa_midia,distrito,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,E3-MIDIA-01_Concepcion-Horqueta,done,P2,agente_qa,Mídia coerente com texto e em qualidade suficiente para publicacao.
E4-TEXTO-01_Concepcion-Horqueta,E4,redacao_profunda_distrital,distrito,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,E3-QA-01_Concepcion-Horqueta,done,P1,agente_editorial,"Narrativa robusta com trade-offs, recomendacao e pre-condicoes de decisao."
E4-QA-01_Concepcion-Horqueta,E4,qa_editorial_distrital,distrito,01_Concepcion,Horqueta,Departamentos/01_Concepcion/Horqueta,E4-TEXTO-01_Concepcion-Horqueta,done,P1,agente_qa,"Texto coerente com dados, sem contradicoes, pronto para compilacao."
E1-CIT-01_Concepcion-Itacua,E1,citacao_linha_a_linha,distrito,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,,done,P1,agente_pesquisa,">=12 afirmacoes criticas com fonte oficial, data da fonte e data de acesso."
E1-INDIC-01_Concepcion-Itacua,E1,indicadores_oficiais_granulares,distrito,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,E1-CIT-01_Concepcion-Itacua,done,P1,agente_dados,"Indicadores distritais oficiais preenchidos com unidade, periodo e link da serie."
E1-QA-01_Concepcion-Itacua,E1,qa_evidencia,distrito,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,E1-INDIC-01_Concepcion-Itacua,done,P1,agente_qa,"Sem placeholders, sem proxy nao justificado, citacao validada."
E2-MODEL-01_Concepcion-Itacua,E2,calibracao_notas_AE,distrito,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,E1-QA-01_Concepcion-Itacua,done,P1,agente_metodo,Notas A-E justificadas por regras quantitativas publicadas no dossie.
E2-GSS-01_Concepcion-Itacua,E2,gss_reproduzivel,distrito,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,E2-MODEL-01_Concepcion-Itacua,done,P1,agente_metodo,GSS recalculado e reproduzivel (mesma entrada -> mesmo resultado).
E2-SENS-01_Concepcion-Itacua,E2,sensibilidade_3_cenarios,distrito,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,E2-GSS-01_Concepcion-Itacua,done,P2,agente_risco,Cenarios otimista/base/conservador com impacto no ranking local.
E2-QA-01_Concepcion-Itacua,E2,qa_modelo,distrito,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,E2-SENS-01_Concepcion-Itacua,done,P1,agente_qa,Modelo auditavel e consistente com evidencias oficiais.
E3-MIDIA-01_Concepcion-Itacua,E3,midia_tecnica_local,distrito,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,E2-QA-01_Concepcion-Itacua,done,P2,agente_midia,"3 ativos tecnicos locais (mapa/risco/infra) com origem, data e licenca."
E3-QA-01_Concepcion-Itacua,E3,qa_midia,distrito,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,E3-MIDIA-01_Concepcion-Itacua,done,P2,agente_qa,Mídia coerente com texto e em qualidade suficiente para publicacao.
E4-TEXTO-01_Concepcion-Itacua,E4,redacao_profunda_distrital,distrito,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,E3-QA-01_Concepcion-Itacua,done,P1,agente_editorial,"Narrativa robusta com trade-offs, recomendacao e pre-condicoes de decisao."
E4-QA-01_Concepcion-Itacua,E4,qa_editorial_distrital,distrito,01_Concepcion,Itacua,Departamentos/01_Concepcion/Itacua,E4-TEXTO-01_Concepcion-Itacua,done,P1,agente_qa,"Texto coerente com dados, sem contradicoes, pronto para compilacao."
E1-CIT-01_Concepcion-Loreto,E1,citacao_linha_a_linha,distrito,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,,done,P1,agente_pesquisa,">=12 afirmacoes criticas com fonte oficial, data da fonte e data de acesso."
E1-INDIC-01_Concepcion-Loreto,E1,indicadores_oficiais_granulares,distrito,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,E1-CIT-01_Concepcion-Loreto,done,P1,agente_dados,"Indicadores distritais oficiais preenchidos com unidade, periodo e link da serie."
E1-QA-01_Concepcion-Loreto,E1,qa_evidencia,distrito,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,E1-INDIC-01_Concepcion-Loreto,done,P1,agente_qa,"Sem placeholders, sem proxy nao justificado, citacao validada."
E2-MODEL-01_Concepcion-Loreto,E2,calibracao_notas_AE,distrito,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,E1-QA-01_Concepcion-Loreto,done,P1,agente_metodo,Notas A-E justificadas por regras quantitativas publicadas no dossie.
E2-GSS-01_Concepcion-Loreto,E2,gss_reproduzivel,distrito,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,E2-MODEL-01_Concepcion-Loreto,done,P1,agente_metodo,GSS recalculado e reproduzivel (mesma entrada -> mesmo resultado).
E2-SENS-01_Concepcion-Loreto,E2,sensibilidade_3_cenarios,distrito,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,E2-GSS-01_Concepcion-Loreto,done,P2,agente_risco,Cenarios otimista/base/conservador com impacto no ranking local.
E2-QA-01_Concepcion-Loreto,E2,qa_modelo,distrito,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,E2-SENS-01_Concepcion-Loreto,done,P1,agente_qa,Modelo auditavel e consistente com evidencias oficiais.
E3-MIDIA-01_Concepcion-Loreto,E3,midia_tecnica_local,distrito,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,E2-QA-01_Concepcion-Loreto,done,P2,agente_midia,"3 ativos tecnicos locais (mapa/risco/infra) com origem, data e licenca."
E3-QA-01_Concepcion-Loreto,E3,qa_midia,distrito,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,E3-MIDIA-01_Concepcion-Loreto,done,P2,agente_qa,Mídia coerente com texto e em qualidade suficiente para publicacao.
E4-TEXTO-01_Concepcion-Loreto,E4,redacao_profunda_distrital,distrito,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,E3-QA-01_Concepcion-Loreto,done,P1,agente_editorial,"Narrativa robusta com trade-offs, recomendacao e pre-condicoes de decisao."
E4-QA-01_Concepcion-Loreto,E4,qa_editorial_distrital,distrito,01_Concepcion,Loreto,Departamentos/01_Concepcion/Loreto,E4-TEXTO-01_Concepcion-Loreto,done,P1,agente_qa,"Texto coerente com dados, sem contradicoes, pronto para compilacao."
E1-CIT-01_Concepcion-Paso_Barreto,E1,citacao_linha_a_linha,distrito,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,,done,P1,agente_pesquisa,">=12 afirmacoes criticas com fonte oficial, data da fonte e data de acesso."
E1-INDIC-01_Concepcion-Paso_Barreto,E1,indicadores_oficiais_granulares,distrito,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,E1-CIT-01_Concepcion-Paso_Barreto,done,P1,agente_dados,"Indicadores distritais oficiais preenchidos com unidade, periodo e link da serie."
E1-QA-01_Concepcion-Paso_Barreto,E1,qa_evidencia,distrito,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,E1-INDIC-01_Concepcion-Paso_Barreto,done,P1,agente_qa,"Sem placeholders, sem proxy nao justificado, citacao validada."
E2-MODEL-01_Concepcion-Paso_Barreto,E2,calibracao_notas_AE,distrito,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,E1-QA-01_Concepcion-Paso_Barreto,done,P1,agente_metodo,Notas A-E justificadas por regras quantitativas publicadas no dossie.
E2-GSS-01_Concepcion-Paso_Barreto,E2,gss_reproduzivel,distrito,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,E2-MODEL-01_Concepcion-Paso_Barreto,done,P1,agente_metodo,GSS recalculado e reproduzivel (mesma entrada -> mesmo resultado).
E2-SENS-01_Concepcion-Paso_Barreto,E2,sensibilidade_3_cenarios,distrito,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,E2-GSS-01_Concepcion-Paso_Barreto,done,P2,agente_risco,Cenarios otimista/base/conservador com impacto no ranking local.
E2-QA-01_Concepcion-Paso_Barreto,E2,qa_modelo,distrito,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,E2-SENS-01_Concepcion-Paso_Barreto,done,P1,agente_qa,Modelo auditavel e consistente com evidencias oficiais.
E3-MIDIA-01_Concepcion-Paso_Barreto,E3,midia_tecnica_local,distrito,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,E2-QA-01_Concepcion-Paso_Barreto,done,P2,agente_midia,"3 ativos tecnicos locais (mapa/risco/infra) com origem, data e licenca."
E3-QA-01_Concepcion-Paso_Barreto,E3,qa_midia,distrito,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,E3-MIDIA-01_Concepcion-Paso_Barreto,done,P2,agente_qa,Mídia coerente com texto e em qualidade suficiente para publicacao.
E4-TEXTO-01_Concepcion-Paso_Barreto,E4,redacao_profunda_distrital,distrito,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,E3-QA-01_Concepcion-Paso_Barreto,done,P1,agente_editorial,"Narrativa robusta com trade-offs, recomendacao e pre-condicoes de decisao."
E4-QA-01_Concepcion-Paso_Barreto,E4,qa_editorial_distrital,distrito,01_Concepcion,Paso_Barreto,Departamentos/01_Concepcion/Paso_Barreto,E4-TEXTO-01_Concepcion-Paso_Barreto,done,P1,agente_qa,"Texto coerente com dados, sem contradicoes, pronto para compilacao."
E1-CIT-01_Concepcion-Paso_Horqueta,E1,citacao_linha_a_linha,distrito,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,,done,P1,agente_pesquisa,">=12 afirmacoes criticas com fonte oficial, data da fonte e data de acesso."
E1-INDIC-01_Concepcion-Paso_Horqueta,E1,indicadores_oficiais_granulares,distrito,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,E1-CIT-01_Concepcion-Paso_Horqueta,done,P1,agente_dados,"Indicadores distritais oficiais preenchidos com unidade, periodo e link da serie."
E1-QA-01_Concepcion-Paso_Horqueta,E1,qa_evidencia,distrito,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,E1-INDIC-01_Concepcion-Paso_Horqueta,done,P1,agente_qa,"Sem placeholders, sem proxy nao justificado, citacao validada."
E2-MODEL-01_Concepcion-Paso_Horqueta,E2,calibracao_notas_AE,distrito,01_Concepcion,Paso_Horqueta,Departamentos/01_Concepcion/Paso_Horqueta,E1-QA-01_Concepcion-Paso_Horqueta,done,P1,agente_metodo,Notas A-E justificadas por regras quantitativas publicadas no dossie.
